component_ordinal,component_id,arm,experiment,unit,evaluation_cell_id,learner,model_seed,compute_backend,membership_reference,fit_action,input_contract_id,input_contract_sha256,input_scientific_identity_sha256,runtime_asset
44,C044,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::LIGHTGBM::SEED43,LIGHTGBM,43,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
45,C045,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::XGBOOST::SEED44,XGBOOST,44,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
46,C046,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::LIGHTGBM::SEED44,LIGHTGBM,44,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
47,C047,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::XGBOOST::SEED45,XGBOOST,45,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
48,C048,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::LIGHTGBM::SEED45,LIGHTGBM,45,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
49,C049,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::XGBOOST::SEED46,XGBOOST,46,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
50,C050,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::LIGHTGBM::SEED46,LIGHTGBM,46,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
51,C051,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::XGBOOST::SEED42,XGBOOST,42,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,REUSE_EXISTING,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
52,C052,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::LIGHTGBM::SEED42,LIGHTGBM,42,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,REUSE_EXISTING,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
53,C053,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::XGBOOST::SEED43,XGBOOST,43,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
54,C054,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::LIGHTGBM::SEED43,LIGHTGBM,43,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
55,C055,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::XGBOOST::SEED44,XGBOOST,44,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
56,C056,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::LIGHTGBM::SEED44,LIGHTGBM,44,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
57,C057,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::XGBOOST::SEED45,XGBOOST,45,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
58,C058,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::LIGHTGBM::SEED45,LIGHTGBM,45,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
59,C059,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::XGBOOST::SEED46,XGBOOST,46,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
60,C060,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::LIGHTGBM::SEED46,LIGHTGBM,46,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
61,C061,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::XGBOOST::SEED42,XGBOOST,42,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,REUSE_EXISTING,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
62,C062,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::LIGHTGBM::SEED42,LIGHTGBM,42,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,REUSE_EXISTING,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
63,C063,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::XGBOOST::SEED43,XGBOOST,43,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
64,C064,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::LIGHTGBM::SEED43,LIGHTGBM,43,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
65,C065,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::XGBOOST::SEED44,XGBOOST,44,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
66,C066,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::LIGHTGBM::SEED44,LIGHTGBM,44,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
67,C067,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::XGBOOST::SEED45,XGBOOST,45,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
68,C068,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::LIGHTGBM::SEED45,LIGHTGBM,45,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
69,C069,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::XGBOOST::SEED46,XGBOOST,46,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
70,C070,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::LIGHTGBM::SEED46,LIGHTGBM,46,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
71,C071,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::XGBOOST::SEED42,XGBOOST,42,CPU,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
72,C072,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::LIGHTGBM::SEED42,LIGHTGBM,42,CPU,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
73,C073,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::XGBOOST::SEED43,XGBOOST,43,CPU,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
74,C074,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::LIGHTGBM::SEED43,LIGHTGBM,43,CPU,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
75,C075,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::XGBOOST::SEED44,XGBOOST,44,CPU,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
76,C076,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::LIGHTGBM::SEED44,LIGHTGBM,44,CPU,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
77,C077,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::XGBOOST::SEED45,XGBOOST,45,CPU,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
78,C078,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::LIGHTGBM::SEED45,LIGHTGBM,45,CPU,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
79,C079,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::XGBOOST::SEED46,XGBOOST,46,CPU,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
80,C080,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::LIGHTGBM::SEED46,LIGHTGBM,46,CPU,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
81,C081,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,28B_RANDOM_LOAO::DDOS::XGBOOST::SEED42,XGBOOST,42,CPU,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_DDOS_membership_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
82,C082,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,28B_RANDOM_LOAO::DDOS::LIGHTGBM::SEED42,LIGHTGBM,42,CPU,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_DDOS_membership_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
