"figure_candidate","stage","scientific_question","source_artifact","native_metric","manuscript_value","redundancy","readability","evidence_status","main_or_supplement","recommended_action","reason"
"figure08_lightgbm_security_confusion_matrix","Stage01-Stage07","Historical benchmark or supporting diagnostic","figures/figure08_lightgbm_security_confusion_matrix.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure09_shap_rank_agreement","Stage01-Stage07","Historical benchmark or supporting diagnostic","figures/figure09_shap_rank_agreement.png","native frozen stage metric","SUPPORTING","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure25_a_ppv_cliff","Stage25","Prevalence PPV workload and cost","figures/stage25_prevalence_stress/figure25_a_ppv_cliff.svg","PPV;workload;cost;required FPR","CENTRAL","2 file instance(s); formats/duplicates: png;svg","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","CONDITIONAL","MAIN","MAIN","High-information exhibit for a primary claim; paired panels remain separate until manuscript assembly."
"figure25_b_soc_capacity_exceedance","Stage25","Prevalence PPV workload and cost","figures/stage25_prevalence_stress/figure25_b_soc_capacity_exceedance.svg","PPV;workload;cost;required FPR","SUPPORTING","2 file instance(s); formats/duplicates: png;svg","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","CONDITIONAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure25_c_benchmark_to_deployment_translation","Stage25","Prevalence PPV workload and cost","figures/stage25_prevalence_stress/figure25_c_benchmark_to_deployment_translation.svg","PPV;workload;cost;required FPR","SUPPORTING","2 file instance(s); formats/duplicates: png;svg","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","CONDITIONAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure25_d_required_fpr_for_target_ppv","Stage25","Prevalence PPV workload and cost","figures/stage25_prevalence_stress/figure25_d_required_fpr_for_target_ppv.svg","PPV;workload;cost;required FPR","SUPPORTING","2 file instance(s); formats/duplicates: png;svg","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","CONDITIONAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure25_e_bayesian_evidence_translation","Stage25","Prevalence PPV workload and cost","figures/stage25_prevalence_stress/figure25_e_bayesian_evidence_translation.svg","PPV;workload;cost;required FPR","SUPPORTING","2 file instance(s); formats/duplicates: png;svg","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","CONDITIONAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"ig_cnn_global_top15_features","Stage14","Historical benchmark or supporting diagnostic","results/stage14_integrated_gradients/publication_assets/figures/ig_cnn_global_top15_features.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_disagreement_baseline_sensitivity","Stage14","Historical benchmark or supporting diagnostic","results/stage14_integrated_gradients/publication_assets/figures/ig_disagreement_baseline_sensitivity.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_mlp_global_top15_features","Stage14","Historical benchmark or supporting diagnostic","results/stage14_integrated_gradients/publication_assets/figures/ig_mlp_global_top15_features.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_numerical_convergence_primary_baseline","Stage14","Historical benchmark or supporting diagnostic","results/stage14_integrated_gradients/publication_assets/figures/ig_numerical_convergence_primary_baseline.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_reference_sensitivity_by_outcome","Stage14","Historical benchmark or supporting diagnostic","results/stage14_integrated_gradients/publication_assets/figures/ig_reference_sensitivity_by_outcome.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_reliability_classes_by_model_outcome","Stage14","Historical benchmark or supporting diagnostic","results/stage14_integrated_gradients/publication_assets/figures/ig_reliability_classes_by_model_outcome.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_robust_case_cnn_fp_05","Stage14","Historical benchmark or supporting diagnostic","results/stage14_integrated_gradients/publication_assets/figures/ig_robust_case_cnn_fp_05.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_robust_case_cnn_tn_06","Stage14","Historical benchmark or supporting diagnostic","results/stage14_integrated_gradients/publication_assets/figures/ig_robust_case_cnn_tn_06.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_robust_case_cnn_tp_08","Stage14","Historical benchmark or supporting diagnostic","results/stage14_integrated_gradients/publication_assets/figures/ig_robust_case_cnn_tp_08.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_robust_case_mlp_fp_04","Stage14","Historical benchmark or supporting diagnostic","results/stage14_integrated_gradients/publication_assets/figures/ig_robust_case_mlp_fp_04.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_robust_case_mlp_tn_08","Stage14","Historical benchmark or supporting diagnostic","results/stage14_integrated_gradients/publication_assets/figures/ig_robust_case_mlp_tn_08.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_robust_case_mlp_tp_06","Stage14","Historical benchmark or supporting diagnostic","results/stage14_integrated_gradients/publication_assets/figures/ig_robust_case_mlp_tp_06.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"lightgbm_shap_attack_waterfall","Stage01-Stage07","Historical benchmark or supporting diagnostic","figures/lightgbm_shap_attack_waterfall.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"lightgbm_shap_summary_plot","Stage01-Stage07","Historical benchmark or supporting diagnostic","figures/lightgbm_shap_summary_plot.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"lightgbm_shap_top20_bar_plot","Stage01-Stage07","Historical benchmark or supporting diagnostic","figures/lightgbm_shap_top20_bar_plot.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"lime_decision_agreement_by_outcome","Stage13","Local explanation reliability","figures/lime/lime_decision_agreement_by_outcome.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"lime_local_r2_vs_fidelity_gap","Stage13","Local explanation reliability","figures/lime/lime_local_r2_vs_fidelity_gap.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"lime_median_fidelity_gap_by_outcome","Stage13","Local explanation reliability","figures/lime/lime_median_fidelity_gap_by_outcome.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"lime_reliability_classifications_by_model","Stage13","Local explanation reliability","figures/lime/lime_reliability_classifications_by_model.png","attribution stability;fidelity;agreement","SUPPORTING","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"shap_lime_agreement_vs_fidelity","Stage13","Local explanation reliability","figures/lime/shap_lime_agreement_vs_fidelity.png","attribution stability;fidelity;agreement","SUPPORTING","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"similarity_vs_unseen_pr_auc","Stage27","Eligible unseen-family transfer","results/stage27_loao_unseen_attack/stage27_3b_similarity/stage27_3b1_execution/figures/similarity_vs_unseen_pr_auc.png","PR-AUC;ROC-AUC;threshold metrics","SUPPORTING","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","PRIMARY_OR_CONDITIONAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"similarity_vs_unseen_roc_auc","Stage27","Eligible unseen-family transfer","results/stage27_loao_unseen_attack/stage27_3b_similarity/stage27_3b1_execution/figures/similarity_vs_unseen_roc_auc.png","PR-AUC;ROC-AUC;threshold metrics","SUPPORTING","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","PRIMARY_OR_CONDITIONAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"stage17_2_confusion_state_rollout_top20_heatmap","Stage17","Historical benchmark or supporting diagnostic","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_confusion_state_rollout_top20_heatmap.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_2_cross_seed_rollout_spearman","Stage17","Historical benchmark or supporting diagnostic","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_cross_seed_rollout_spearman.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_2_cross_seed_rollout_top10_jaccard","Stage17","Historical benchmark or supporting diagnostic","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_cross_seed_rollout_top10_jaccard.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_2_global_rollout_top20","Stage17","Historical benchmark or supporting diagnostic","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_global_rollout_top20.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_2_layer_head_entropy_heatmap","Stage17","Historical benchmark or supporting diagnostic","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_layer_head_entropy_heatmap.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_2_layerwise_cls_feature_attention_top20","Stage17","Historical benchmark or supporting diagnostic","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_layerwise_cls_feature_attention_top20.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_2_true_attack_vs_benign_top20","Stage17","Historical benchmark or supporting diagnostic","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_true_attack_vs_benign_top20.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_2_within_layer_head_similarity_heatmaps","Stage17","Historical benchmark or supporting diagnostic","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_within_layer_head_similarity_heatmaps.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_3b_attention_shap_ig_shared70_heatmap","Stage17","Historical benchmark or supporting diagnostic","results/stage17_attention_explainability_checkpoint/stage17_3b_cross_method_agreement_package/figures/stage17_3b_attention_shap_ig_shared70_heatmap.png","attribution stability;fidelity;agreement","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage27_balanced_recall_ci","Stage27","Eligible unseen-family transfer","results/stage27_loao_unseen_attack/stage27_4a_final_synthesis/figures/stage27_balanced_recall_ci.png","PR-AUC;ROC-AUC;threshold metrics","CENTRAL","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","PRIMARY_OR_CONDITIONAL","MAIN","COMBINE_LATER","High-information exhibit for a primary claim; paired panels remain separate until manuscript assembly."
"stage27_primary_pr_auc_ci","Stage27","Eligible unseen-family transfer","results/stage27_loao_unseen_attack/stage27_4a_final_synthesis/figures/stage27_primary_pr_auc_ci.png","PR-AUC;ROC-AUC;threshold metrics","SUPPORTING","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","PRIMARY_OR_CONDITIONAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"stage27_primary_roc_auc_ci","Stage27","Eligible unseen-family transfer","results/stage27_loao_unseen_attack/stage27_4a_final_synthesis/figures/stage27_primary_roc_auc_ci.png","PR-AUC;ROC-AUC;threshold metrics","CENTRAL","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","PRIMARY_OR_CONDITIONAL","MAIN","COMBINE_LATER","High-information exhibit for a primary claim; paired panels remain separate until manuscript assembly."
"xgboost_shap_attack_waterfall","Stage01-Stage07","Historical benchmark or supporting diagnostic","figures/xgboost_shap_attack_waterfall.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"xgboost_shap_summary_plot","Stage01-Stage07","Historical benchmark or supporting diagnostic","figures/xgboost_shap_summary_plot.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"xgboost_shap_top20_bar_plot","Stage01-Stage07","Historical benchmark or supporting diagnostic","figures/xgboost_shap_top20_bar_plot.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
