"number_id","value","units","stage","context","population","metric","source_artifact","evidence_id","allowed_rounding","notes"
"NUM29-135","0.5176","proportion","Stage28","random-natural five-seed ranking","shared Stage22 holdout","mean ROC-AUC","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","Frozen reported mean; no new Stage29 average"
"NUM29-136","0.0073","proportion","Stage28","random-natural five-seed ranking","shared Stage22 holdout","ROC-AUC SD","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","Frozen reported SD"
"NUM29-137","0.2599","proportion","Stage28","random-natural five-seed ranking","shared Stage22 holdout","mean PR-AUC","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","Frozen reported mean"
"NUM29-138","0.0034","proportion","Stage28","random-natural five-seed ranking","shared Stage22 holdout","PR-AUC SD","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","Frozen reported SD"
"NUM29-139","0.8209","proportion","Stage28","chronological-natural five-seed ranking","shared Stage22 holdout","mean ROC-AUC","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","Frozen reported mean"
"NUM29-140","0.0085","proportion","Stage28","chronological-natural five-seed ranking","shared Stage22 holdout","ROC-AUC SD","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","Frozen reported SD"
"NUM29-141","0.6388","proportion","Stage28","chronological-natural five-seed ranking","shared Stage22 holdout","mean PR-AUC","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","Frozen reported mean"
"NUM29-142","0.0322","proportion","Stage28","chronological-natural five-seed ranking","shared Stage22 holdout","PR-AUC SD","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","Frozen reported SD; same digits as Stage25 alerts but different units/context"
"NUM29-143","5/5","seeds","Stage28","random below chronological","shared Stage22 holdout","PR-AUC ordering","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-038","exact fraction","Descriptive; not a significance test"
"NUM29-144","5/5","seeds","Stage28","random below chronological","shared Stage22 holdout","ROC-AUC ordering","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-038","exact fraction","Descriptive; not a significance test"
