component_ordinal,component_id,arm,experiment,unit,evaluation_cell_id,learner,configuration_id,model_seed,compute_backend,parameter_set_id,parameter_sha256,membership_reference,positive_class_weight,fit_action,reused_model_path,reused_model_sha256,new_fit_budget_units,reuse_budget_units
53,C053,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::XGBOOST::SEED43,XGBOOST,XGB_11,43,CPU,LOAO::XGBOOST::SEED43,5ac981f17f3327f8de881b672b6bf35a3b020a3a56a68957146cbe6622e30ed0,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
54,C054,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::LIGHTGBM::SEED43,LIGHTGBM,LGBM_11,43,CPU,LOAO::LIGHTGBM::SEED43,d43b2e4009bec8e9874a2ec0fd65f1279ea8d493808a386ab84fc801076e9c13,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
55,C055,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::XGBOOST::SEED44,XGBOOST,XGB_11,44,CPU,LOAO::XGBOOST::SEED44,ae022425b27139a0ccdbb8e08ab9035ab386c4521afb3d9f095b1f7dc5cb7731,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
56,C056,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::LIGHTGBM::SEED44,LIGHTGBM,LGBM_11,44,CPU,LOAO::LIGHTGBM::SEED44,0ed7e79e2b5d5f55b4cf8a3753c5df9ad083d412aa0ad08f72610f69b7692454,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
57,C057,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::XGBOOST::SEED45,XGBOOST,XGB_11,45,CPU,LOAO::XGBOOST::SEED45,ca62fc9245eaad469fdf744635d56dc10951d77cf808c1616122be817be35565,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
58,C058,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::LIGHTGBM::SEED45,LIGHTGBM,LGBM_11,45,CPU,LOAO::LIGHTGBM::SEED45,6daf64f6e8034953ca426e6241177a45ee5cc6bdf5434bfa5a8f3789e34f431c,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
59,C059,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::XGBOOST::SEED46,XGBOOST,XGB_11,46,CPU,LOAO::XGBOOST::SEED46,f0f79c993ba61a0d11f6abb3fe34419203768a8f65df0dbcee72f3fa9d93f676,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
60,C060,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::LIGHTGBM::SEED46,LIGHTGBM,LGBM_11,46,CPU,LOAO::LIGHTGBM::SEED46,7847b3ccffa8bdc77842ddf8ae34dddfec4d7b468b41824b2603d47828190d9c,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
61,C061,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::XGBOOST::SEED42,XGBOOST,XGB_11,42,CPU,LOAO::XGBOOST::SEED42,1eb12cc88f3e1b455da9882d8439938fda175c66435940a5e2a6850cbcda63ff,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,69.53321286591977,REUSE_EXISTING,results/stage27_loao_unseen_attack/stage27_2a_preopening_models/models/WEB_ATTACK_XGBOOST_XGB_11.json,0611a874f999a4483d20ac8a1a01418dc6f08d36636a203ce209d37be3e6c2e9,0,1
62,C062,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::LIGHTGBM::SEED42,LIGHTGBM,LGBM_11,42,CPU,LOAO::LIGHTGBM::SEED42,dbb7ac185b3ac6aa8e3ac915cfa2b2080ee54bec8e7a38cab83537faad2f2754,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,69.53321286591977,REUSE_EXISTING,results/stage27_loao_unseen_attack/stage27_2a_preopening_models/models/WEB_ATTACK_LIGHTGBM_LGBM_11.txt,5dc9100c3e0fcad481b61a6a6b35008a1943cc7881416a4b89cd143501b77751,0,1
63,C063,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::XGBOOST::SEED43,XGBOOST,XGB_11,43,CPU,LOAO::XGBOOST::SEED43,5ac981f17f3327f8de881b672b6bf35a3b020a3a56a68957146cbe6622e30ed0,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
64,C064,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::LIGHTGBM::SEED43,LIGHTGBM,LGBM_11,43,CPU,LOAO::LIGHTGBM::SEED43,d43b2e4009bec8e9874a2ec0fd65f1279ea8d493808a386ab84fc801076e9c13,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
65,C065,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::XGBOOST::SEED44,XGBOOST,XGB_11,44,CPU,LOAO::XGBOOST::SEED44,ae022425b27139a0ccdbb8e08ab9035ab386c4521afb3d9f095b1f7dc5cb7731,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
66,C066,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::LIGHTGBM::SEED44,LIGHTGBM,LGBM_11,44,CPU,LOAO::LIGHTGBM::SEED44,0ed7e79e2b5d5f55b4cf8a3753c5df9ad083d412aa0ad08f72610f69b7692454,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
67,C067,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::XGBOOST::SEED45,XGBOOST,XGB_11,45,CPU,LOAO::XGBOOST::SEED45,ca62fc9245eaad469fdf744635d56dc10951d77cf808c1616122be817be35565,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
68,C068,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::LIGHTGBM::SEED45,LIGHTGBM,LGBM_11,45,CPU,LOAO::LIGHTGBM::SEED45,6daf64f6e8034953ca426e6241177a45ee5cc6bdf5434bfa5a8f3789e34f431c,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
69,C069,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::XGBOOST::SEED46,XGBOOST,XGB_11,46,CPU,LOAO::XGBOOST::SEED46,f0f79c993ba61a0d11f6abb3fe34419203768a8f65df0dbcee72f3fa9d93f676,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
70,C070,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,28A_STAGE27_CHRONO::WEB_ATTACK::LIGHTGBM::SEED46,LIGHTGBM,LGBM_11,46,CPU,LOAO::LIGHTGBM::SEED46,7847b3ccffa8bdc77842ddf8ae34dddfec4d7b468b41824b2603d47828190d9c,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_WEB_ATTACK_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
71,C071,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::XGBOOST::SEED42,XGBOOST,XGB_11,42,CPU,LOAO::XGBOOST::SEED42,1eb12cc88f3e1b455da9882d8439938fda175c66435940a5e2a6850cbcda63ff,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,3.2725904596938373,NEW_FIT_AUTHORIZED,,,1,0
72,C072,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::LIGHTGBM::SEED42,LIGHTGBM,LGBM_11,42,CPU,LOAO::LIGHTGBM::SEED42,dbb7ac185b3ac6aa8e3ac915cfa2b2080ee54bec8e7a38cab83537faad2f2754,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,3.2725904596938373,NEW_FIT_AUTHORIZED,,,1,0
73,C073,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::XGBOOST::SEED43,XGBOOST,XGB_11,43,CPU,LOAO::XGBOOST::SEED43,5ac981f17f3327f8de881b672b6bf35a3b020a3a56a68957146cbe6622e30ed0,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,3.2725904596938373,NEW_FIT_AUTHORIZED,,,1,0
74,C074,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::LIGHTGBM::SEED43,LIGHTGBM,LGBM_11,43,CPU,LOAO::LIGHTGBM::SEED43,d43b2e4009bec8e9874a2ec0fd65f1279ea8d493808a386ab84fc801076e9c13,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,3.2725904596938373,NEW_FIT_AUTHORIZED,,,1,0
75,C075,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::XGBOOST::SEED44,XGBOOST,XGB_11,44,CPU,LOAO::XGBOOST::SEED44,ae022425b27139a0ccdbb8e08ab9035ab386c4521afb3d9f095b1f7dc5cb7731,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,3.2725904596938373,NEW_FIT_AUTHORIZED,,,1,0
76,C076,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::LIGHTGBM::SEED44,LIGHTGBM,LGBM_11,44,CPU,LOAO::LIGHTGBM::SEED44,0ed7e79e2b5d5f55b4cf8a3753c5df9ad083d412aa0ad08f72610f69b7692454,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,3.2725904596938373,NEW_FIT_AUTHORIZED,,,1,0
77,C077,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::XGBOOST::SEED45,XGBOOST,XGB_11,45,CPU,LOAO::XGBOOST::SEED45,ca62fc9245eaad469fdf744635d56dc10951d77cf808c1616122be817be35565,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,3.2725904596938373,NEW_FIT_AUTHORIZED,,,1,0
78,C078,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::LIGHTGBM::SEED45,LIGHTGBM,LGBM_11,45,CPU,LOAO::LIGHTGBM::SEED45,6daf64f6e8034953ca426e6241177a45ee5cc6bdf5434bfa5a8f3789e34f431c,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,3.2725904596938373,NEW_FIT_AUTHORIZED,,,1,0
79,C079,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::XGBOOST::SEED46,XGBOOST,XGB_11,46,CPU,LOAO::XGBOOST::SEED46,f0f79c993ba61a0d11f6abb3fe34419203768a8f65df0dbcee72f3fa9d93f676,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,3.2725904596938373,NEW_FIT_AUTHORIZED,,,1,0
80,C080,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,28B_RANDOM_LOAO::BOT::LIGHTGBM::SEED46,LIGHTGBM,LGBM_11,46,CPU,LOAO::LIGHTGBM::SEED46,7847b3ccffa8bdc77842ddf8ae34dddfec4d7b468b41824b2603d47828190d9c,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_BOT_membership_receipt.json,3.2725904596938373,NEW_FIT_AUTHORIZED,,,1,0
81,C081,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,28B_RANDOM_LOAO::DDOS::XGBOOST::SEED42,XGBOOST,XGB_11,42,CPU,LOAO::XGBOOST::SEED42,1eb12cc88f3e1b455da9882d8439938fda175c66435940a5e2a6850cbcda63ff,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_DDOS_membership_receipt.json,4.232881176422665,NEW_FIT_AUTHORIZED,,,1,0
82,C082,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,28B_RANDOM_LOAO::DDOS::LIGHTGBM::SEED42,LIGHTGBM,LGBM_11,42,CPU,LOAO::LIGHTGBM::SEED42,dbb7ac185b3ac6aa8e3ac915cfa2b2080ee54bec8e7a38cab83537faad2f2754,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_DDOS_membership_receipt.json,4.232881176422665,NEW_FIT_AUTHORIZED,,,1,0
83,C083,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,28B_RANDOM_LOAO::DDOS::XGBOOST::SEED43,XGBOOST,XGB_11,43,CPU,LOAO::XGBOOST::SEED43,5ac981f17f3327f8de881b672b6bf35a3b020a3a56a68957146cbe6622e30ed0,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_DDOS_membership_receipt.json,4.232881176422665,NEW_FIT_AUTHORIZED,,,1,0
84,C084,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,28B_RANDOM_LOAO::DDOS::LIGHTGBM::SEED43,LIGHTGBM,LGBM_11,43,CPU,LOAO::LIGHTGBM::SEED43,d43b2e4009bec8e9874a2ec0fd65f1279ea8d493808a386ab84fc801076e9c13,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_DDOS_membership_receipt.json,4.232881176422665,NEW_FIT_AUTHORIZED,,,1,0
85,C085,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,28B_RANDOM_LOAO::DDOS::XGBOOST::SEED44,XGBOOST,XGB_11,44,CPU,LOAO::XGBOOST::SEED44,ae022425b27139a0ccdbb8e08ab9035ab386c4521afb3d9f095b1f7dc5cb7731,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_DDOS_membership_receipt.json,4.232881176422665,NEW_FIT_AUTHORIZED,,,1,0
86,C086,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,28B_RANDOM_LOAO::DDOS::LIGHTGBM::SEED44,LIGHTGBM,LGBM_11,44,CPU,LOAO::LIGHTGBM::SEED44,0ed7e79e2b5d5f55b4cf8a3753c5df9ad083d412aa0ad08f72610f69b7692454,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_DDOS_membership_receipt.json,4.232881176422665,NEW_FIT_AUTHORIZED,,,1,0
87,C087,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,28B_RANDOM_LOAO::DDOS::XGBOOST::SEED45,XGBOOST,XGB_11,45,CPU,LOAO::XGBOOST::SEED45,ca62fc9245eaad469fdf744635d56dc10951d77cf808c1616122be817be35565,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_DDOS_membership_receipt.json,4.232881176422665,NEW_FIT_AUTHORIZED,,,1,0
88,C088,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,28B_RANDOM_LOAO::DDOS::LIGHTGBM::SEED45,LIGHTGBM,LGBM_11,45,CPU,LOAO::LIGHTGBM::SEED45,6daf64f6e8034953ca426e6241177a45ee5cc6bdf5434bfa5a8f3789e34f431c,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_DDOS_membership_receipt.json,4.232881176422665,NEW_FIT_AUTHORIZED,,,1,0
89,C089,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,28B_RANDOM_LOAO::DDOS::XGBOOST::SEED46,XGBOOST,XGB_11,46,CPU,LOAO::XGBOOST::SEED46,f0f79c993ba61a0d11f6abb3fe34419203768a8f65df0dbcee72f3fa9d93f676,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_DDOS_membership_receipt.json,4.232881176422665,NEW_FIT_AUTHORIZED,,,1,0
90,C090,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,28B_RANDOM_LOAO::DDOS::LIGHTGBM::SEED46,LIGHTGBM,LGBM_11,46,CPU,LOAO::LIGHTGBM::SEED46,7847b3ccffa8bdc77842ddf8ae34dddfec4d7b468b41824b2603d47828190d9c,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_DDOS_membership_receipt.json,4.232881176422665,NEW_FIT_AUTHORIZED,,,1,0
91,C091,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,INFILTRATION,28B_RANDOM_LOAO::INFILTRATION::XGBOOST::SEED42,XGBOOST,XGB_11,42,CPU,LOAO::XGBOOST::SEED42,1eb12cc88f3e1b455da9882d8439938fda175c66435940a5e2a6850cbcda63ff,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_INFILTRATION_membership_receipt.json,3.2612631394887455,NEW_FIT_AUTHORIZED,,,1,0
92,C092,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,INFILTRATION,28B_RANDOM_LOAO::INFILTRATION::LIGHTGBM::SEED42,LIGHTGBM,LGBM_11,42,CPU,LOAO::LIGHTGBM::SEED42,dbb7ac185b3ac6aa8e3ac915cfa2b2080ee54bec8e7a38cab83537faad2f2754,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_INFILTRATION_membership_receipt.json,3.2612631394887455,NEW_FIT_AUTHORIZED,,,1,0
93,C093,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,INFILTRATION,28B_RANDOM_LOAO::INFILTRATION::XGBOOST::SEED43,XGBOOST,XGB_11,43,CPU,LOAO::XGBOOST::SEED43,5ac981f17f3327f8de881b672b6bf35a3b020a3a56a68957146cbe6622e30ed0,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_INFILTRATION_membership_receipt.json,3.2612631394887455,NEW_FIT_AUTHORIZED,,,1,0
94,C094,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,INFILTRATION,28B_RANDOM_LOAO::INFILTRATION::LIGHTGBM::SEED43,LIGHTGBM,LGBM_11,43,CPU,LOAO::LIGHTGBM::SEED43,d43b2e4009bec8e9874a2ec0fd65f1279ea8d493808a386ab84fc801076e9c13,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_INFILTRATION_membership_receipt.json,3.2612631394887455,NEW_FIT_AUTHORIZED,,,1,0
95,C095,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,INFILTRATION,28B_RANDOM_LOAO::INFILTRATION::XGBOOST::SEED44,XGBOOST,XGB_11,44,CPU,LOAO::XGBOOST::SEED44,ae022425b27139a0ccdbb8e08ab9035ab386c4521afb3d9f095b1f7dc5cb7731,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_INFILTRATION_membership_receipt.json,3.2612631394887455,NEW_FIT_AUTHORIZED,,,1,0
96,C096,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,INFILTRATION,28B_RANDOM_LOAO::INFILTRATION::LIGHTGBM::SEED44,LIGHTGBM,LGBM_11,44,CPU,LOAO::LIGHTGBM::SEED44,0ed7e79e2b5d5f55b4cf8a3753c5df9ad083d412aa0ad08f72610f69b7692454,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_INFILTRATION_membership_receipt.json,3.2612631394887455,NEW_FIT_AUTHORIZED,,,1,0
97,C097,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,INFILTRATION,28B_RANDOM_LOAO::INFILTRATION::XGBOOST::SEED45,XGBOOST,XGB_11,45,CPU,LOAO::XGBOOST::SEED45,ca62fc9245eaad469fdf744635d56dc10951d77cf808c1616122be817be35565,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_INFILTRATION_membership_receipt.json,3.2612631394887455,NEW_FIT_AUTHORIZED,,,1,0
98,C098,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,INFILTRATION,28B_RANDOM_LOAO::INFILTRATION::LIGHTGBM::SEED45,LIGHTGBM,LGBM_11,45,CPU,LOAO::LIGHTGBM::SEED45,6daf64f6e8034953ca426e6241177a45ee5cc6bdf5434bfa5a8f3789e34f431c,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_INFILTRATION_membership_receipt.json,3.2612631394887455,NEW_FIT_AUTHORIZED,,,1,0
99,C099,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,INFILTRATION,28B_RANDOM_LOAO::INFILTRATION::XGBOOST::SEED46,XGBOOST,XGB_11,46,CPU,LOAO::XGBOOST::SEED46,f0f79c993ba61a0d11f6abb3fe34419203768a8f65df0dbcee72f3fa9d93f676,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_INFILTRATION_membership_receipt.json,3.2612631394887455,NEW_FIT_AUTHORIZED,,,1,0
100,C100,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,INFILTRATION,28B_RANDOM_LOAO::INFILTRATION::LIGHTGBM::SEED46,LIGHTGBM,LGBM_11,46,CPU,LOAO::LIGHTGBM::SEED46,7847b3ccffa8bdc77842ddf8ae34dddfec4d7b468b41824b2603d47828190d9c,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_INFILTRATION_membership_receipt.json,3.2612631394887455,NEW_FIT_AUTHORIZED,,,1,0
101,C101,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,PORT_SCAN,28B_RANDOM_LOAO::PORT_SCAN::XGBOOST::SEED42,XGBOOST,XGB_11,42,CPU,LOAO::XGBOOST::SEED42,1eb12cc88f3e1b455da9882d8439938fda175c66435940a5e2a6850cbcda63ff,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_PORT_SCAN_membership_receipt.json,4.560956722388734,NEW_FIT_AUTHORIZED,,,1,0
102,C102,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,PORT_SCAN,28B_RANDOM_LOAO::PORT_SCAN::LIGHTGBM::SEED42,LIGHTGBM,LGBM_11,42,CPU,LOAO::LIGHTGBM::SEED42,dbb7ac185b3ac6aa8e3ac915cfa2b2080ee54bec8e7a38cab83537faad2f2754,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_PORT_SCAN_membership_receipt.json,4.560956722388734,NEW_FIT_AUTHORIZED,,,1,0
103,C103,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,PORT_SCAN,28B_RANDOM_LOAO::PORT_SCAN::XGBOOST::SEED43,XGBOOST,XGB_11,43,CPU,LOAO::XGBOOST::SEED43,5ac981f17f3327f8de881b672b6bf35a3b020a3a56a68957146cbe6622e30ed0,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_PORT_SCAN_membership_receipt.json,4.560956722388734,NEW_FIT_AUTHORIZED,,,1,0
104,C104,28B_RANDOM_SPLIT_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,PORT_SCAN,28B_RANDOM_LOAO::PORT_SCAN::LIGHTGBM::SEED43,LIGHTGBM,LGBM_11,43,CPU,LOAO::LIGHTGBM::SEED43,d43b2e4009bec8e9874a2ec0fd65f1279ea8d493808a386ab84fc801076e9c13,results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock/random_loao_PORT_SCAN_membership_receipt.json,4.560956722388734,NEW_FIT_AUTHORIZED,,,1,0
