"audit_id","manuscript_location","number_id","frozen_source_value","displayed_manuscript_value","source_artifact","evidence_id","registered_rounding_rule","rounding_authorization","resolution_type","status"
"P2C-FNA-101","5. Results / 5.5 Did projected precision imply operational utility?, line 187","NUM29-109","15/24","15/24","results/stage25_prevalence_stress/stage25_5_final_audit_and_seal/stage25_5_final_synthesis.md","E29-031","exact fraction","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-102","5. Results / 5.5 Did projected precision imply operational utility?, line 187","NUM29-110","3/24","3/24","results/stage25_prevalence_stress/stage25_5_final_audit_and_seal/stage25_5_final_synthesis.md","E29-031","exact fraction","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-103","5. Results / 5.5 Did projected precision imply operational utility?, line 191","NUM29-100","0.1","0.1%","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal percent","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-104","5. Results / 5.5 Did projected precision imply operational utility?, line 195","NUM29-101","0.965572","0.965572","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-105","5. Results / 5.5 Did projected precision imply operational utility?, line 195","NUM29-102","33.5","33.5","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-106","5. Results / 5.5 Did projected precision imply operational utility?, line 196","NUM29-103","0.000551068","0.000551068","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-029","9 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-107","5. Results / 5.5 Did projected precision imply operational utility?, line 196","NUM29-104","0.0322","0.0322","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-029","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-108","5. Results / 5.5 Did projected precision imply operational utility?, line 197","NUM29-105","0.039233","0.039233","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-109","5. Results / 5.5 Did projected precision imply operational utility?, line 197","NUM29-106","0.060313","0.060313","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-110","5. Results / 5.5 Did projected precision imply operational utility?, line 198","NUM29-107","0.000257610","0.000257610","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","9 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-111","5. Results / 5.5 Did projected precision imply operational utility?, line 198","NUM29-108","0.000287993","0.000287993","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","9 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-112","5. Results / 5.6 Was one compute backend consistently faster?, line 202","NUM29-113","0.16178896782073898","0.16","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-113","5. Results / 5.6 Was one compute backend consistently faster?, line 202","NUM29-114","0.25913087788404343","0.26","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-114","5. Results / 5.6 Was one compute backend consistently faster?, line 202","NUM29-116","1.0484184716605593","1.05","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-115","5. Results / 5.6 Was one compute backend consistently faster?, line 202","NUM29-112","1.579056832689612","1.58","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-116","5. Results / 5.6 Was one compute backend consistently faster?, line 202","NUM29-111","1.9415216272658395","1.94","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-117","5. Results / 5.6 Was one compute backend consistently faster?, line 202","NUM29-115","10.858442808697973","10.86","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-118","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 208","NUM29-124","0.7206","0.7206","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-119","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 208","NUM29-126","0.7605","0.7605","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-120","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 208","NUM29-123","0.9693","0.9693","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-121","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 208","NUM29-125","0.9901","0.9901","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-122","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 208","NUM29-120","0.9925","0.9925","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-123","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 208","NUM29-122","0.9940","0.9940","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-124","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 208","NUM29-119","0.9982","0.9982","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-125","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 208","NUM29-121","0.9986","0.9986","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-126","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 210","NUM29-128","0.003256","0.003256","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-127","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 210","NUM29-127","0.3224","0.3224","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-128","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 210","NUM29-130","0.5506","0.5506","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-129","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 210","NUM29-129","0.5591","0.5591","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-130","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 210","NUM29-131","0.7559","0.7559","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-131","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 210","NUM29-118","36","36","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-035","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-132","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 212","NUM29-118","36","36","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-035","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-133","5. Results / 5.8 Did central conclusions survive the frozen realizations?, line 226","NUM29-132","108/108","108/108","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-041","exact fraction","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-134","5. Results / 5.8 Did central conclusions survive the frozen realizations?, line 226","NUM29-133","12","12","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-041","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-135","7. Limitations / 7.3 Cross-dataset and family-support constraints, line 309","NUM29-118","36","36","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-035","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-136","7. Limitations / 7.4 Statistical and realization uncertainty, line 313","NUM29-143;NUM29-144","5/5","5/5","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-038","exact fraction","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-137","Supplementary Material Plan / S6. Family eligibility and realization stability, line 363","NUM29-118","36","36","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-035","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
